relpath,caption,key,bpm,mood,ckz
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Dilemma - 120 BPM B Min .wav,Cymatics - Dragon Various Loop - Dilemma - 120 BPM B Min ,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Dripping - 148 BPM A Min.wav,Cymatics - Dragon Various Loop - Dripping - 148 BPM A Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Elixir - 140 BPM E Min.wav,Cymatics - Dragon Various Loop - Elixir - 140 BPM E Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Elusive - 155 BPM A# Min.wav,Cymatics - Dragon Various Loop - Elusive - 155 BPM A# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Epiphany - 124 BPM B Min.wav,Cymatics - Dragon Various Loop - Epiphany - 124 BPM B Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Ethereal - 160 BPM A# Min.wav,Cymatics - Dragon Various Loop - Ethereal - 160 BPM A# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Fiasco - 135 BPM G# Min.wav,Cymatics - Dragon Various Loop - Fiasco - 135 BPM G# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Frivolous - 110 BPM F# Min.wav,Cymatics - Dragon Various Loop - Frivolous - 110 BPM F# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Hush - 80 BPM C Min.wav,Cymatics - Dragon Various Loop - Hush - 80 BPM C Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Ice - 160 BPM G# Min.wav,Cymatics - Dragon Various Loop - Ice - 160 BPM G# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Mythic - 150 BPM C# Min.wav,Cymatics - Dragon Various Loop - Mythic - 150 BPM C# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - North Side - 100 BPM B Min.wav,Cymatics - Dragon Various Loop - North Side - 100 BPM B Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Pressure - 128 BPM D# Min.wav,Cymatics - Dragon Various Loop - Pressure - 128 BPM D# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Salty - 170 BPM A# Min.wav,Cymatics - Dragon Various Loop - Salty - 170 BPM A# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Senses - 140 BPM G# Min.wav,Cymatics - Dragon Various Loop - Senses - 140 BPM G# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - The Abyss - 165 BPM A# Min.wav,Cymatics - Dragon Various Loop - The Abyss - 165 BPM A# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - The Pinnacle - 140 BPM D Min.wav,Cymatics - Dragon Various Loop - The Pinnacle - 140 BPM D Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Thieves - 106 BPM D# Min.wav,Cymatics - Dragon Various Loop - Thieves - 106 BPM D# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Tropics - 160 BPM D# Min.wav,Cymatics - Dragon Various Loop - Tropics - 160 BPM D# Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Vertigo - 140 BPM D Min.wav,Cymatics - Dragon Various Loop - Vertigo - 140 BPM D Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Voodoo - 126 BPM G Min.wav,Cymatics - Dragon Various Loop - Voodoo - 126 BPM G Min,,,,False
Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Zoom - 155 BPM G Min.wav,Cymatics - Dragon Various Loop - Zoom - 155 BPM G Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Flutes/Dry/Cymatics - Cobra Flute Loop 1 - 108 BPM D Min.wav,Cymatics - Cobra Flute Loop 1 - 108 BPM D Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Flutes/Dry/Cymatics - Cobra Flute Loop 2 - 113 BPM F# Min.wav,Cymatics - Cobra Flute Loop 2 - 113 BPM F# Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Flutes/Dry/Cymatics - Cobra Flute Loop 3 - 130 BPM D# Min.wav,Cymatics - Cobra Flute Loop 3 - 130 BPM D# Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Flutes/Dry/Cymatics - Cobra Flute Loop 4 - 141 BPM F# Min.wav,Cymatics - Cobra Flute Loop 4 - 141 BPM F# Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Flutes/Processed/Cymatics - Cobra Flute Loop 1 Wet - 108 BPM D Min.wav,Cymatics - Cobra Flute Loop 1 Wet - 108 BPM D Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Flutes/Processed/Cymatics - Cobra Flute Loop 2 Wet - 113 BPM F# Min.wav,Cymatics - Cobra Flute Loop 2 Wet - 113 BPM F# Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Flutes/Processed/Cymatics - Cobra Flute Loop 3 Wet - 130 BPM D# Min.wav,Cymatics - Cobra Flute Loop 3 Wet - 130 BPM D# Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Flutes/Processed/Cymatics - Cobra Flute Loop 4 Wet - 141 BPM F# Min.wav,Cymatics - Cobra Flute Loop 4 Wet - 141 BPM F# Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Dry/Cymatics - Cobra Guitar Loop 1 - 100 BPM G Min.wav,Cymatics - Cobra Guitar Loop 1 - 100 BPM G Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Dry/Cymatics - Cobra Guitar Loop 2 - 140 BPM C# Min.wav,Cymatics - Cobra Guitar Loop 2 - 140 BPM C# Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Dry/Cymatics - Cobra Guitar Loop 3 - 140 BPM E Min.wav,Cymatics - Cobra Guitar Loop 3 - 140 BPM E Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Dry/Cymatics - Cobra Guitar Loop 4 - 140 BPM E Min.wav,Cymatics - Cobra Guitar Loop 4 - 140 BPM E Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Dry/Cymatics - Cobra Guitar Loop 5 - 140 BPM E Min.wav,Cymatics - Cobra Guitar Loop 5 - 140 BPM E Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Dry/Cymatics - Cobra Guitar Loop 6 - 140 BPM E Min.wav,Cymatics - Cobra Guitar Loop 6 - 140 BPM E Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Dry/Cymatics - Cobra Guitar Loop 7 - 160 BPM D Min.wav,Cymatics - Cobra Guitar Loop 7 - 160 BPM D Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Dry/Cymatics - Cobra Guitar Loop 8 - 160 BPM E Min.wav,Cymatics - Cobra Guitar Loop 8 - 160 BPM E Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Processed/Cymatics - Cobra Guitar Loop 1 Wet - 100 BPM G Min.wav,Cymatics - Cobra Guitar Loop 1 Wet - 100 BPM G Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Processed/Cymatics - Cobra Guitar Loop 2 Wet - 140 BPM C# Min.wav,Cymatics - Cobra Guitar Loop 2 Wet - 140 BPM C# Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Processed/Cymatics - Cobra Guitar Loop 3 Wet - 140 BPM E Min.wav,Cymatics - Cobra Guitar Loop 3 Wet - 140 BPM E Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Processed/Cymatics - Cobra Guitar Loop 4 Wet - 140 BPM E Min.wav,Cymatics - Cobra Guitar Loop 4 Wet - 140 BPM E Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Processed/Cymatics - Cobra Guitar Loop 5 Wet - 140 BPM E Min.wav,Cymatics - Cobra Guitar Loop 5 Wet - 140 BPM E Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Processed/Cymatics - Cobra Guitar Loop 6 Wet - 140 BPM E Min.wav,Cymatics - Cobra Guitar Loop 6 Wet - 140 BPM E Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Processed/Cymatics - Cobra Guitar Loop 7 Wet - 160 BPM D Min.wav,Cymatics - Cobra Guitar Loop 7 Wet - 160 BPM D Min,,,,False
Cymatics Cobra - Melodics/Instrument Loops/Guitars/Processed/Cymatics - Cobra Guitar Loop 7 Wet - 160 BPM E Min.wav,Cymatics - Cobra Guitar Loop 7 Wet - 160 BPM E Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 1 - 85 BPM G Min.wav,Cymatics - Cobra Melody Loop 1 - 85 BPM G Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 10 - 135 BPM E Min.wav,Cymatics - Cobra Melody Loop 10 - 135 BPM E Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 11 - 140 BPM C Min.wav,Cymatics - Cobra Melody Loop 11 - 140 BPM C Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 12 - 140 BPM D# Maj.wav,Cymatics - Cobra Melody Loop 12 - 140 BPM D# Maj,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 13 - 140 BPM D# Min.wav,Cymatics - Cobra Melody Loop 13 - 140 BPM D# Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 14 - 140 BPM G# Min.wav,Cymatics - Cobra Melody Loop 14 - 140 BPM G# Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 15 - 140 BPM A# Min.wav,Cymatics - Cobra Melody Loop 15 - 140 BPM A# Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 16 - 140 BPM B Min.wav,Cymatics - Cobra Melody Loop 16 - 140 BPM B Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 17 - 150 BPM C# Min.wav,Cymatics - Cobra Melody Loop 17 - 150 BPM C# Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 18 - 150 BPM D Min.wav,Cymatics - Cobra Melody Loop 18 - 150 BPM D Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 19 - 150 BPM G# Min.wav,Cymatics - Cobra Melody Loop 19 - 150 BPM G# Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 2 - 90 BPM G Min.wav,Cymatics - Cobra Melody Loop 2 - 90 BPM G Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 20 - 150 BPM G# Min.wav,Cymatics - Cobra Melody Loop 20 - 150 BPM G# Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 21 - 160 BPM C Min.wav,Cymatics - Cobra Melody Loop 21 - 160 BPM C Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 22 - 160 BPM D Min.wav,Cymatics - Cobra Melody Loop 22 - 160 BPM D Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 23 - 160 BPM E Min.wav,Cymatics - Cobra Melody Loop 23 - 160 BPM E Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 24 - 160 BPM E Min.wav,Cymatics - Cobra Melody Loop 24 - 160 BPM E Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 25 - 160 BPM G# Min.wav,Cymatics - Cobra Melody Loop 25 - 160 BPM G# Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 26 - 160 BPM A Min.wav,Cymatics - Cobra Melody Loop 26 - 160 BPM A Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 27 - 160 BPM A Min.wav,Cymatics - Cobra Melody Loop 27 - 160 BPM A Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 28 - 170 BPM B Min.wav,Cymatics - Cobra Melody Loop 28 - 170 BPM B Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 29 - 180 BPM A# Min.wav,Cymatics - Cobra Melody Loop 29 - 180 BPM A# Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 3 - 110 BPM D Min.wav,Cymatics - Cobra Melody Loop 3 - 110 BPM D Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 4 - 110 BPM E Min.wav,Cymatics - Cobra Melody Loop 4 - 110 BPM E Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 5 - 110 BPM E Min.wav,Cymatics - Cobra Melody Loop 5 - 110 BPM E Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 6 - 110 BPM A# Min.wav,Cymatics - Cobra Melody Loop 6 - 110 BPM A# Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 7 - 128 BPM D Min.wav,Cymatics - Cobra Melody Loop 7 - 128 BPM D Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 8 - 128 BPM A# Min.wav,Cymatics - Cobra Melody Loop 8 - 128 BPM A# Min,,,,False
Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 9 - 130 BPM A# Min.wav,Cymatics - Cobra Melody Loop 9 - 130 BPM A# Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Bliss - 115 BPM A Min.wav,Cymatics Gems Vol 6 - Bliss - 115 BPM A Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Confessions - 105 BPM A Min.wav,Cymatics Gems Vol 6 - Confessions - 105 BPM A Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Crystals - 130 BPM G Min.wav,Cymatics Gems Vol 6 - Crystals - 130 BPM G Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Dawn - 94 BPM G Min.wav,Cymatics Gems Vol 6 - Dawn - 94 BPM G Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Deja Vu - 118 BPM C# Min.wav,Cymatics Gems Vol 6 - Deja Vu - 118 BPM C# Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Don_t Leave - 95 BPM D# Min.wav,Cymatics Gems Vol 6 - Don_t Leave - 95 BPM D# Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Fading Away - 102 BPM G Min.wav,Cymatics Gems Vol 6 - Fading Away - 102 BPM G Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Glowing - 94 BPM D# Min.wav,Cymatics Gems Vol 6 - Glowing - 94 BPM D# Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - High - 117 BPM G# Min.wav,Cymatics Gems Vol 6 - High - 117 BPM G# Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - In My Arms - 82 BPM A# Min.wav,Cymatics Gems Vol 6 - In My Arms - 82 BPM A# Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Lucid - 90 BPM F# Min.wav,Cymatics Gems Vol 6 - Lucid - 90 BPM F# Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Luxury - 110 BPM E Maj.wav,Cymatics Gems Vol 6 - Luxury - 110 BPM E Maj,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Midnight - 160 BPM A# Min.wav,Cymatics Gems Vol 6 - Midnight - 160 BPM A# Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Misunderstood - 142 BPM C Min.wav,Cymatics Gems Vol 6 - Misunderstood - 142 BPM C Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Never - 100 BPM F# Min.wav,Cymatics Gems Vol 6 - Never - 100 BPM F# Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Paradise - 110 BPM G# Min.wav,Cymatics Gems Vol 6 - Paradise - 110 BPM G# Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Potion - 112 BPM D Min.wav,Cymatics Gems Vol 6 - Potion - 112 BPM D Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Reflections - 135 BPM C# Min.wav,Cymatics Gems Vol 6 - Reflections - 135 BPM C# Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Secrets - 105 BPM A Min.wav,Cymatics Gems Vol 6 - Secrets - 105 BPM A Min,,,,False
Cymatics Gems Vol 6 - Future RnB Melodies/Cymatics Gems Vol 6 - Toronto - 105 BPM A Min.wav,Cymatics Gems Vol 6 - Toronto - 105 BPM A Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Classic Melody Loop 1 - 86 BPM C Min.wav,Cymatics - Oracle Classic Melody Loop 1 - 86 BPM C Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Classic Melody Loop 2 - 86 BPM F Min.wav,Cymatics - Oracle Classic Melody Loop 2 - 86 BPM F Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Classic Melody Loop 3 - 88 BPM C Min.wav,Cymatics - Oracle Classic Melody Loop 3 - 88 BPM C Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Classic Melody Loop 4 - 88 BPM A Min.wav,Cymatics - Oracle Classic Melody Loop 4 - 88 BPM A Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Classic Melody Loop 5 - 88 BPM A# Min.wav,Cymatics - Oracle Classic Melody Loop 5 - 88 BPM A# Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Classic Melody Loop 6 - 97 BPM C Min.wav,Cymatics - Oracle Classic Melody Loop 6 - 97 BPM C Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Classic Melody Loop 7 - 145 BPM D# Min.wav,Cymatics - Oracle Classic Melody Loop 7 - 145 BPM D# Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 1 - 89 BPM F# Min.wav,Cymatics - Oracle Dark Melody Loop 1 - 89 BPM F# Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 10 - 140 BPM B Min.wav,Cymatics - Oracle Dark Melody Loop 10 - 140 BPM B Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 11 - 146 BPM D Min.wav,Cymatics - Oracle Dark Melody Loop 11 - 146 BPM D Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 12 - 150 BPM D Min.wav,Cymatics - Oracle Dark Melody Loop 12 - 150 BPM D Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 13 - 160 BPM G Min.wav,Cymatics - Oracle Dark Melody Loop 13 - 160 BPM G Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 14 - 163 BPM A Min.wav,Cymatics - Oracle Dark Melody Loop 14 - 163 BPM A Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 15 - 167 BPM B Min.wav,Cymatics - Oracle Dark Melody Loop 15 - 167 BPM B Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 16 - 170 BPM G Min.wav,Cymatics - Oracle Dark Melody Loop 16 - 170 BPM G Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 17 - 172 BPM C# Min.wav,Cymatics - Oracle Dark Melody Loop 17 - 172 BPM C# Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 18 - 177 BPM F Min.wav,Cymatics - Oracle Dark Melody Loop 18 - 177 BPM F Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 19 - 180 BPM B Min.wav,Cymatics - Oracle Dark Melody Loop 19 - 180 BPM B Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min.wav,Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 3 - 112 BPM E Min.wav,Cymatics - Oracle Dark Melody Loop 3 - 112 BPM E Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 4 - 130 BPM D Min.wav,Cymatics - Oracle Dark Melody Loop 4 - 130 BPM D Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 5 - 130 BPM A Min.wav,Cymatics - Oracle Dark Melody Loop 5 - 130 BPM A Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 6 - 133 BPM G Min.wav,Cymatics - Oracle Dark Melody Loop 6 - 133 BPM G Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 7 - 135 BPM A# Min.wav,Cymatics - Oracle Dark Melody Loop 7 - 135 BPM A# Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 8 - 137 BPM F Min.wav,Cymatics - Oracle Dark Melody Loop 8 - 137 BPM F Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Dark Melody Loop 9 - 140 BPM C Min.wav,Cymatics - Oracle Dark Melody Loop 9 - 140 BPM C Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Happy Melody Loop 1 - 120 BPM C Maj.wav,Cymatics - Oracle Happy Melody Loop 1 - 120 BPM C Maj,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Happy Melody Loop 2 - 140 BPM C Min.wav,Cymatics - Oracle Happy Melody Loop 2 - 140 BPM C Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Happy Melody Loop 3 - 150 BPM F Maj.wav,Cymatics - Oracle Happy Melody Loop 3 - 150 BPM F Maj,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Happy Melody Loop 4 - 154 BPM E Maj.wav,Cymatics - Oracle Happy Melody Loop 4 - 154 BPM E Maj,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Happy Melody Loop 5 - 155 BPM F Min.wav,Cymatics - Oracle Happy Melody Loop 5 - 155 BPM F Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Happy Melody Loop 6 - 175 BPM F# Min.wav,Cymatics - Oracle Happy Melody Loop 6 - 175 BPM F# Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Lofi Melody Loop 1 - 70 BPM A Maj.wav,Cymatics - Oracle Lofi Melody Loop 1 - 70 BPM A Maj,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Lofi Melody Loop 2 - 82 BPM D Maj.wav,Cymatics - Oracle Lofi Melody Loop 2 - 82 BPM D Maj,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Lofi Melody Loop 3 - 84 BPM C Min.wav,Cymatics - Oracle Lofi Melody Loop 3 - 84 BPM C Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Lofi Melody Loop 4 - 84 BPM B Min.wav,Cymatics - Oracle Lofi Melody Loop 4 - 84 BPM B Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 1 - 97 BPM G# Maj.wav,Cymatics - Oracle Nostalgic Melody Loop 1 - 97 BPM G# Maj,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 10 - 140 BPM F Min.wav,Cymatics - Oracle Nostalgic Melody Loop 10 - 140 BPM F Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 11 - 140 BPM G# Min.wav,Cymatics - Oracle Nostalgic Melody Loop 11 - 140 BPM G# Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 12 - 143 BPM F Maj.wav,Cymatics - Oracle Nostalgic Melody Loop 12 - 143 BPM F Maj,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 13 - 150 BPM F Min.wav,Cymatics - Oracle Nostalgic Melody Loop 13 - 150 BPM F Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 14 - 152 BPM A Min.wav,Cymatics - Oracle Nostalgic Melody Loop 14 - 152 BPM A Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 15 - 155 BPM F Min.wav,Cymatics - Oracle Nostalgic Melody Loop 15 - 155 BPM F Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 16 - 170 BPM D# Min.wav,Cymatics - Oracle Nostalgic Melody Loop 16 - 170 BPM D# Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 17 - 172 BPM C# Min.wav,Cymatics - Oracle Nostalgic Melody Loop 17 - 172 BPM C# Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 2 - 99 BPM F# Maj.wav,Cymatics - Oracle Nostalgic Melody Loop 2 - 99 BPM F# Maj,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 3 - 120 BPM A# Min.wav,Cymatics - Oracle Nostalgic Melody Loop 3 - 120 BPM A# Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 4 - 125 BPM B Min.wav,Cymatics - Oracle Nostalgic Melody Loop 4 - 125 BPM B Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 5 - 130 BPM C Min.wav,Cymatics - Oracle Nostalgic Melody Loop 5 - 130 BPM C Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 6 - 140 BPM C Min.wav,Cymatics - Oracle Nostalgic Melody Loop 6 - 140 BPM C Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 7 - 140 BPM C# Min.wav,Cymatics - Oracle Nostalgic Melody Loop 7 - 140 BPM C# Min,,,,False
Cymatics Oracle/Melodies/Cymatics - Oracle Nostalgic Melody Loop 8 - 140 BPM E Min.wav,Cymatics - Oracle Nostalgic Melody Loop 8 - 140 BPM E Min,,,,False
