rank,pred_score,pred_timbre,pred_melody,audible_ratio,file
215,2.929,2.09,2.79,0.51,0008__A#min_152_dragon__StarLight__loop-Cymatics_Dragon_Nostalgic___seed123.wav
216,2.865,2.70,2.77,0.45,0216__F#min_113_cobra__Coldhearted__loop-Cymatics_Cobra_Flute_Loop___seed123.wav
217,2.823,2.09,2.81,0.49,0194__F#min_100_rnb__Mirage__loop-Cymatics_Gems_Vol_6_Never___seed123.wav
218,2.823,2.22,2.14,0.55,0036__Amin_88_oracle__Rent_Free__loop-Cymatics_Oracle_Classic_Me__seed123.wav
219,2.810,2.58,2.97,0.43,0260__G#min_115_dark__JuPitER__loop-Cymatics_Gems_Dark_Loop_At__seed123.wav
220,2.782,2.13,2.80,0.48,0263__G#min_115_dark__Ember__loop-Cymatics_Gems_Dark_Loop_At__seed7.wav
221,2.745,2.06,3.19,0.45,0180__Emin_110_cobra__Halo__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
222,2.738,2.11,2.09,0.56,0031__Amin_88_oracle__Crystal__loop-Cymatics_Oracle_Classic_Me__seed7.wav
223,2.720,2.14,2.19,0.54,0033__Amin_88_oracle__Cry__loop-Cymatics_Oracle_Classic_Me__seed7.wav
224,2.697,2.09,2.24,0.53,0139__D#min_94_rnb__JuPitER__loop-Cymatics_Gems_Vol_6_Glowin__seed7.wav
225,2.697,2.12,2.12,0.54,0035__Amin_88_oracle__Rent_Free__loop-Cymatics_Oracle_Classic_Me__seed7.wav
226,2.651,2.64,2.73,0.42,0286__Gmin_126_ethnic__Cry__loop-Cymatics_Gems_Ethnic_Loop___seed123.wav
227,2.637,1.67,2.07,0.60,0165__Dmin_160_ethnic__JUNGLE__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
228,2.634,2.07,2.86,0.46,0211__F#min_113_cobra__Halo__loop-Cymatics_Cobra_Flute_Loop___seed7.wav
229,2.623,2.10,1.68,0.59,0167__Dmin_160_ethnic__Crystal__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
230,2.615,2.18,3.11,0.42,0262__G#min_115_dark__POWER__loop-Cymatics_Gems_Dark_Loop_At__seed123.wav
231,2.601,2.16,2.10,0.52,0197__F#min_100_rnb__Velvet__loop-Cymatics_Gems_Vol_6_Never___seed7.wav
232,2.583,1.96,2.67,0.47,0196__F#min_100_rnb__Mars__loop-Cymatics_Gems_Vol_6_Never___seed123.wav
233,2.566,2.46,2.67,0.42,0284__Gmin_126_ethnic__Echo__loop-Cymatics_Gems_Ethnic_Loop___seed123.wav
234,2.511,2.07,1.99,0.53,0193__F#min_100_rnb__Mirage__loop-Cymatics_Gems_Vol_6_Never___seed7.wav
235,2.509,2.68,2.72,0.40,0228__Fmin_130_dragon__JUNGLE__loop-Cymatics_Dragon_Nostalgic___seed123.wav
236,2.495,2.05,2.07,0.52,0195__F#min_100_rnb__Mars__loop-Cymatics_Gems_Vol_6_Never___seed7.wav
237,2.493,2.66,2.63,0.40,0227__Fmin_130_dragon__JUNGLE__loop-Cymatics_Dragon_Nostalgic___seed7.wav
238,2.465,2.96,2.56,0.38,0226__Fmin_130_dragon__CoSmoS__loop-Cymatics_Dragon_Nostalgic___seed123.wav
239,2.439,1.98,2.53,0.46,0212__F#min_113_cobra__Halo__loop-Cymatics_Cobra_Flute_Loop___seed123.wav
240,2.418,2.06,2.26,0.47,0198__F#min_100_rnb__Velvet__loop-Cymatics_Gems_Vol_6_Never___seed123.wav
241,2.323,1.93,1.91,0.52,0010__A#min_152_dragon__Crystal__loop-Cymatics_Dragon_Nostalgic___seed123.wav
242,2.275,2.08,2.13,0.46,0175__Emin_110_cobra__JuPitER__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
243,2.212,2.03,2.45,0.42,0264__G#min_115_dark__Ember__loop-Cymatics_Gems_Dark_Loop_At__seed123.wav
244,2.192,3.01,2.24,0.35,0287__Gmin_126_ethnic__Rent_Free__loop-Cymatics_Gems_Ethnic_Loop___seed7.wav
245,2.163,2.93,2.25,0.35,0285__Gmin_126_ethnic__Cry__loop-Cymatics_Gems_Ethnic_Loop___seed7.wav
246,2.157,3.30,2.61,0.31,0283__Gmin_126_ethnic__Echo__loop-Cymatics_Gems_Ethnic_Loop___seed7.wav
247,2.145,2.09,1.92,0.46,0214__F#min_113_cobra__LowKey__loop-Cymatics_Cobra_Flute_Loop___seed123.wav
248,2.122,1.98,2.17,0.43,0288__Gmin_126_ethnic__Rent_Free__loop-Cymatics_Gems_Ethnic_Loop___seed123.wav
249,2.095,1.49,2.00,0.51,0128__D#min_90_r&b__Glassland__loop-Cymatics_Oracle_R_B_Melody__seed123.wav
250,2.087,2.74,1.93,0.38,0225__Fmin_130_dragon__CoSmoS__loop-Cymatics_Dragon_Nostalgic___seed7.wav
251,2.082,1.44,2.07,0.51,0132__D#min_90_r&b__Depths__loop-Cymatics_Oracle_R_B_Melody__seed123.wav
252,2.014,1.33,1.90,0.53,0129__D#min_90_r&b__Coldhearted__loop-Cymatics_Oracle_R_B_Melody__seed7.wav
253,2.012,1.23,2.12,0.51,0140__D#min_94_rnb__JuPitER__loop-Cymatics_Gems_Vol_6_Glowin__seed123.wav
254,2.012,1.29,1.94,0.53,0131__D#min_90_r&b__Depths__loop-Cymatics_Oracle_R_B_Melody__seed7.wav
255,1.967,1.61,1.61,0.52,0130__D#min_90_r&b__Coldhearted__loop-Cymatics_Oracle_R_B_Melody__seed123.wav
256,1.950,2.02,2.34,0.38,0224__Fmin_130_dragon__TrapSoul__loop-Cymatics_Dragon_Nostalgic___seed123.wav
257,1.942,2.10,2.14,0.39,0223__Fmin_130_dragon__TrapSoul__loop-Cymatics_Dragon_Nostalgic___seed7.wav
258,1.912,2.01,2.21,0.39,0060__Bmin_167_dark__Soulful__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
259,1.909,1.92,2.59,0.36,0186__Emin_150_various__Halo__loop-Cymatics_Oracle_Various_Me__seed123.wav
260,1.873,1.52,2.61,0.39,0090__C#min_136_r&b__BANDS__loop-Cymatics_Dragon_R_B_Loop_D__seed123.wav
261,1.827,1.19,1.64,0.55,0127__D#min_90_r&b__Glassland__loop-Cymatics_Oracle_R_B_Melody__seed7.wav
262,1.827,2.09,2.62,0.33,0220__Fmin_160_various__Velvet__loop-Cymatics_Oracle_Various_Me__seed123.wav
263,1.700,2.50,1.88,0.33,0183__Emin_150_various__Pressure__loop-Cymatics_Oracle_Various_Me__seed7.wav
264,1.697,2.53,1.91,0.33,0218__Fmin_160_various__Crystal__loop-Cymatics_Oracle_Various_Me__seed123.wav
265,1.692,1.82,2.23,0.35,0089__C#min_136_r&b__BANDS__loop-Cymatics_Dragon_R_B_Loop_D__seed7.wav
266,1.661,1.86,1.95,0.37,0086__C#min_136_r&b__AzUL__loop-Cymatics_Dragon_R_B_Loop_D__seed123.wav
267,1.646,2.03,2.14,0.34,0184__Emin_150_various__Pressure__loop-Cymatics_Oracle_Various_Me__seed123.wav
268,1.553,2.62,1.78,0.30,0239__Fmin_137_dark__Panda__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
269,1.550,2.01,1.93,0.34,0056__Bmin_167_dark__ACTiVE__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
270,1.539,2.22,1.87,0.32,0222__Fmin_160_various__Cry__loop-Cymatics_Oracle_Various_Me__seed123.wav
271,1.533,2.11,1.90,0.33,0185__Emin_150_various__Halo__loop-Cymatics_Oracle_Various_Me__seed7.wav
272,1.518,2.10,2.13,0.30,0219__Fmin_160_various__Velvet__loop-Cymatics_Oracle_Various_Me__seed7.wav
273,1.516,2.08,1.89,0.33,0181__Emin_150_various__CANOPY__loop-Cymatics_Oracle_Various_Me__seed7.wav
274,1.510,1.99,1.73,0.34,0237__Fmin_137_dark__Rent_Free__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
275,1.509,2.06,1.95,0.32,0240__Fmin_137_dark__Panda__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
276,1.500,1.98,1.94,0.33,0182__Emin_150_various__CANOPY__loop-Cymatics_Oracle_Various_Me__seed123.wav
277,1.488,1.77,1.79,0.35,0085__C#min_136_r&b__AzUL__loop-Cymatics_Dragon_R_B_Loop_D__seed7.wav
278,1.462,2.40,1.68,0.30,0217__Fmin_160_various__Crystal__loop-Cymatics_Oracle_Various_Me__seed7.wav
279,1.455,1.96,1.79,0.33,0236__Fmin_137_dark__Soulful__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
280,1.404,1.97,1.82,0.32,0238__Fmin_137_dark__Rent_Free__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
281,1.399,1.97,1.87,0.31,0059__Bmin_167_dark__Soulful__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
282,1.398,1.80,1.75,0.34,0058__Bmin_167_dark__Depths__loop-Cymatics_Oracle_Dark_Melod__seed123.wav
283,1.393,1.97,1.84,0.31,0057__Bmin_167_dark__Depths__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
284,1.388,1.30,1.80,0.38,0088__C#min_136_r&b__Glassland__loop-Cymatics_Dragon_R_B_Loop_D__seed123.wav
285,1.360,1.96,1.39,0.34,0235__Fmin_137_dark__Soulful__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
286,1.318,1.84,1.77,0.31,0055__Bmin_167_dark__ACTiVE__loop-Cymatics_Oracle_Dark_Melod__seed7.wav
287,1.290,2.11,1.48,0.30,0221__Fmin_160_various__Cry__loop-Cymatics_Oracle_Various_Me__seed7.wav
288,1.084,1.26,1.34,0.35,0087__C#min_136_r&b__Glassland__loop-Cymatics_Dragon_R_B_Loop_D__seed7.wav
