rank,pred_score,pred_timbre,pred_melody,density,file
215,5.027,2.50,2.53,0.96,0511__G#min_85_sad__Rent_Free__loop-Cymatics_Dragon_Sad_Loop_L__seed7.wav
216,5.027,2.34,2.68,0.96,0496__G#min_150_dragon__Steppa__loop-Cymatics_Dragon_Orchestral__seed7.wav
217,5.016,2.37,2.65,1.00,0200__Cmin_102_oracle__Depths__loop-Cymatics_Oracle_West_Coast__seed123.wav
218,5.014,2.63,2.38,0.95,0084__Amin_130_sad__ACTiVE__loop-Cymatics_Oracle_Sad_Melody__seed777.wav
219,5.011,2.52,2.49,0.98,0433__Fmin_160_various__Coldhearted__loop-Cymatics_Oracle_Various_Me__seed7.wav
220,5.008,2.38,2.63,0.97,0386__F#min_100_rnb__Ember__loop-Cymatics_Gems_Vol_6_Never___seed123.wav
221,5.006,2.52,2.49,0.99,0426__F#min_113_cobra__Rent_Free__loop-Cymatics_Cobra_Flute_Loop___seed777.wav
222,5.000,2.27,2.73,1.00,0446__Fmin_130_dragon__ACTiVE__loop-Cymatics_Dragon_Nostalgic___seed123.wav
223,4.998,2.48,2.52,0.99,0134__Bmin_125_oracle__Glassland__loop-Cymatics_Oracle_Nostalgic___seed123.wav
224,4.995,2.29,2.70,1.00,0545__Gmin_130_r&b__Ember__loop-Cymatics_Dragon_R_B_Loop_R__seed123.wav
225,4.993,2.30,2.70,1.00,0503__G#min_150_dragon__Depths__loop-Cymatics_Dragon_Orchestral__seed123.wav
226,4.988,2.24,2.74,1.00,0499__G#min_150_dragon__LATE__loop-Cymatics_Dragon_Orchestral__seed7.wav
227,4.987,2.19,2.79,0.91,0164__C#min_135_dragon__Dusk__loop-Cymatics_Dragon_Nostalgic___seed123.wav
228,4.987,2.22,2.77,0.94,0410__F#min_130_sad__Twilight__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
229,4.984,2.59,2.40,0.98,0355__Emin_110_cobra__Rent_Free__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
230,4.980,2.19,2.79,1.00,0523__G#min_115_dark__Dusk__loop-Cymatics_Gems_Dark_Loop_At__seed7.wav
231,4.978,2.56,2.42,0.88,0263__D#min_90_r&b__Panda__loop-Cymatics_Oracle_R_B_Melody__seed123.wav
232,4.968,2.48,2.68,0.82,0482__G#min_105_ethnic__CoSmoS__loop-Cymatics_Dragon_Ethnic_Loo__seed123.wav
233,4.967,2.37,2.60,1.00,0190__C#min_130_dark__JuPitER__loop-Cymatics_Dragon_Platinum_D__seed7.wav
234,4.960,2.47,2.49,1.00,0334__Dmin_160_ethnic__Ember__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
235,4.950,2.19,2.76,1.00,0157__C#min_135_dragon__Coldhearted__loop-Cymatics_Dragon_Nostalgic___seed7.wav
236,4.948,2.64,2.31,1.00,0323__Dmin_120_oracle__Cry__loop-Cymatics_Oracle_Simple_Mel__seed123.wav
237,4.944,2.37,2.58,1.00,0366__Emin_150_various__Mars__loop-Cymatics_Oracle_Various_Me__seed777.wav
238,4.940,2.16,2.78,1.00,0360__Emin_110_cobra__Glassland__loop-Cymatics_Cobra_Melody_Loop__seed777.wav
239,4.939,2.19,2.75,1.00,0517__G#min_115_dark__Halo__loop-Cymatics_Gems_Dark_Loop_At__seed7.wav
240,4.931,2.28,2.65,0.91,0051__Amin_130_ethnic__Cry__loop-Cymatics_Dragon_Platinum_E__seed777.wav
241,4.929,2.13,2.80,1.00,0242__D#min_106_various__Pressure__loop-Cymatics_Dragon_Various_Lo__seed123.wav
242,4.927,2.36,2.57,0.98,0393__F#min_100_rnb__Soulful__loop-Cymatics_Gems_Vol_6_Never___seed777.wav
243,4.924,2.36,2.56,1.00,0421__F#min_113_cobra__Cry__loop-Cymatics_Cobra_Flute_Loop___seed7.wav
244,4.913,2.25,2.66,0.91,0505__G#min_85_sad__Mars__loop-Cymatics_Dragon_Sad_Loop_L__seed7.wav
245,4.911,2.24,2.67,1.00,0021__A#min_152_dragon__Midnight__loop-Cymatics_Dragon_Nostalgic___seed777.wav
246,4.910,2.28,2.63,1.00,0493__G#min_150_dragon__Velvet__loop-Cymatics_Dragon_Orchestral__seed7.wav
247,4.895,2.33,2.57,1.00,0335__Dmin_160_ethnic__Ember__loop-Cymatics_Dragon_Ethnic_Loo__seed123.wav
248,4.893,2.62,2.27,0.99,0081__Amin_130_sad__JuPitER__loop-Cymatics_Oracle_Sad_Melody__seed777.wav
249,4.893,2.18,2.71,1.00,0059__Amin_130_ethnic__LATE__loop-Cymatics_Dragon_Platinum_E__seed123.wav
250,4.892,2.23,2.67,1.00,0328__Dmin_160_ethnic__CoSmoS__loop-Cymatics_Dragon_Ethnic_Loo__seed7.wav
251,4.891,2.26,2.63,1.00,0494__G#min_150_dragon__Velvet__loop-Cymatics_Dragon_Orchestral__seed123.wav
252,4.891,2.43,2.46,0.99,0507__G#min_85_sad__Mars__loop-Cymatics_Dragon_Sad_Loop_L__seed777.wav
253,4.889,2.37,2.52,0.97,0253__D#min_90_r&b__Pressure__loop-Cymatics_Oracle_R_B_Melody__seed7.wav
254,4.887,2.37,2.52,1.00,0237__Cmin_128_dragon__LATE__loop-Cymatics_Dragon_Nostalgic___seed777.wav
255,4.885,2.42,2.47,1.00,0340__Emin_160_cobra__Depths__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
256,4.881,2.24,2.64,1.00,0552__Gmin_130_r&b__Crystal__loop-Cymatics_Dragon_R_B_Loop_R__seed777.wav
257,4.879,2.53,2.60,0.81,0285__D#min_94_rnb__Mirage__loop-Cymatics_Gems_Vol_6_Glowin__seed777.wav
258,4.878,2.82,2.06,1.00,0567__Gmin_126_ethnic__LATE__loop-Cymatics_Gems_Ethnic_Loop___seed777.wav
259,4.873,2.26,2.62,0.93,0554__Gmin_102_rnb__Panda__loop-Cymatics_Gems_Vol_6_Fading__seed123.wav
260,4.873,2.45,2.42,0.99,0458__Fmin_70_r&b__ICE__loop-Cymatics_Dragon_Platinum_R__seed123.wav
261,4.872,2.29,2.58,1.00,0231__Cmin_128_dragon__Scenic__loop-Cymatics_Dragon_Nostalgic___seed777.wav
262,4.869,2.21,2.66,0.94,0416__F#min_130_sad__Midnight__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
263,4.868,2.37,2.49,1.00,0145__C#min_150_dragon__CoSmoS__loop-Cymatics_Dragon_Orchestral__seed7.wav
264,4.861,2.44,2.42,1.00,0356__Emin_110_cobra__Rent_Free__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
265,4.859,2.26,2.60,1.00,0326__Dmin_160_ethnic__TrapSoul__loop-Cymatics_Dragon_Ethnic_Loo__seed123.wav
266,4.855,2.31,2.55,1.00,0570__Gmin_126_ethnic__Crystal__loop-Cymatics_Gems_Ethnic_Loop___seed777.wav
267,4.845,2.19,2.66,1.00,0191__C#min_130_dark__JuPitER__loop-Cymatics_Dragon_Platinum_D__seed123.wav
268,4.844,2.31,2.53,1.00,0155__C#min_150_dragon__DreamDoor__loop-Cymatics_Dragon_Orchestral__seed123.wav
269,4.835,2.35,2.49,1.00,0039__A#min_150_various__ICE__loop-Cymatics_Dragon_Various_Lo__seed777.wav
270,4.833,2.46,2.38,1.00,0338__Emin_160_cobra__Mirage__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
271,4.832,2.17,2.66,1.00,0450__Fmin_130_dragon__Rent_Free__loop-Cymatics_Dragon_Nostalgic___seed777.wav
272,4.824,2.20,2.62,1.00,0354__Emin_110_cobra__Scenic__loop-Cymatics_Cobra_Melody_Loop__seed777.wav
273,4.816,2.28,2.54,0.99,0060__Amin_130_ethnic__LATE__loop-Cymatics_Dragon_Platinum_E__seed777.wav
274,4.812,2.31,2.51,1.00,0548__Gmin_130_r&b__StarLight__loop-Cymatics_Dragon_R_B_Loop_R__seed123.wav
275,4.808,2.15,2.66,1.00,0524__G#min_115_dark__Dusk__loop-Cymatics_Gems_Dark_Loop_At__seed123.wav
276,4.805,2.36,2.44,1.00,0079__Amin_130_sad__JuPitER__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
277,4.802,2.00,2.80,0.99,0449__Fmin_130_dragon__Rent_Free__loop-Cymatics_Dragon_Nostalgic___seed123.wav
278,4.801,2.29,2.51,0.98,0033__A#min_97_oracle__Soulful__loop-Cymatics_Oracle_West_Coast__seed777.wav
279,4.800,2.28,2.52,1.00,0241__D#min_106_various__Pressure__loop-Cymatics_Dragon_Various_Lo__seed7.wav
280,4.791,2.30,2.49,0.99,0234__Cmin_128_dragon__JuPitER__loop-Cymatics_Dragon_Nostalgic___seed777.wav
281,4.789,2.28,2.51,1.00,0315__Dmin_120_oracle__Coldhearted__loop-Cymatics_Oracle_Simple_Mel__seed777.wav
282,4.787,2.32,2.46,0.94,0023__A#min_152_dragon__BANDS__loop-Cymatics_Dragon_Nostalgic___seed123.wav
283,4.785,2.27,2.51,0.90,0255__D#min_90_r&b__Pressure__loop-Cymatics_Oracle_R_B_Melody__seed777.wav
284,4.784,2.23,2.56,1.00,0195__Cmin_102_oracle__Glassland__loop-Cymatics_Oracle_West_Coast__seed777.wav
285,4.779,2.27,2.51,0.98,0154__C#min_150_dragon__DreamDoor__loop-Cymatics_Dragon_Orchestral__seed7.wav
286,4.776,2.24,2.54,1.00,0544__Gmin_130_r&b__Ember__loop-Cymatics_Dragon_R_B_Loop_R__seed7.wav
287,4.770,2.27,2.50,0.90,0209__Cmin_80_various__JuPitER__loop-Cymatics_Dragon_Various_Lo__seed123.wav
288,4.768,2.38,2.39,1.00,0250__D#min_106_various__AzUL__loop-Cymatics_Dragon_Various_Lo__seed7.wav
289,4.764,2.20,2.56,1.00,0187__C#min_130_dark__Scenic__loop-Cymatics_Dragon_Platinum_D__seed7.wav
290,4.746,2.27,2.48,1.00,0089__Amin_160_misc__Soulful__loop-Cymatics_2020_Nostalgic_Me__seed123.wav
291,4.745,2.30,2.45,1.00,0048__A#min_150_various__Crystal__loop-Cymatics_Dragon_Various_Lo__seed777.wav
292,4.744,2.13,2.62,1.00,0520__G#min_115_dark__BANDS__loop-Cymatics_Gems_Dark_Loop_At__seed7.wav
293,4.743,2.51,2.23,0.97,0318__Dmin_120_oracle__Crystal__loop-Cymatics_Oracle_Simple_Mel__seed777.wav
294,4.742,2.42,2.33,1.00,0146__C#min_150_dragon__CoSmoS__loop-Cymatics_Dragon_Orchestral__seed123.wav
295,4.741,2.22,2.52,1.00,0165__C#min_135_dragon__Dusk__loop-Cymatics_Dragon_Nostalgic___seed777.wav
296,4.740,2.53,2.21,0.98,0467__Fmin_70_r&b__Echo__loop-Cymatics_Dragon_Platinum_R__seed123.wav
297,4.740,2.35,2.39,1.00,0330__Dmin_160_ethnic__CoSmoS__loop-Cymatics_Dragon_Ethnic_Loo__seed777.wav
298,4.739,2.31,2.43,0.99,0017__A#min_152_dragon__Velvet__loop-Cymatics_Dragon_Nostalgic___seed123.wav
299,4.736,2.26,2.47,1.00,0080__Amin_130_sad__JuPitER__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
300,4.730,2.13,2.60,1.00,0251__D#min_106_various__AzUL__loop-Cymatics_Dragon_Various_Lo__seed123.wav
301,4.724,2.35,2.37,1.00,0344__Emin_160_cobra__Soulful__loop-Cymatics_Cobra_Melody_Loop__seed123.wav
302,4.716,2.27,2.45,0.99,0088__Amin_160_misc__Soulful__loop-Cymatics_2020_Nostalgic_Me__seed7.wav
303,4.711,2.18,2.53,1.00,0549__Gmin_130_r&b__StarLight__loop-Cymatics_Dragon_R_B_Loop_R__seed777.wav
304,4.711,2.31,2.40,1.00,0327__Dmin_160_ethnic__TrapSoul__loop-Cymatics_Dragon_Ethnic_Loo__seed777.wav
305,4.710,2.32,2.39,1.00,0542__Gmin_130_r&b__FlaMEnCO__loop-Cymatics_Dragon_R_B_Loop_R__seed123.wav
306,4.708,2.21,2.50,1.00,0576__Gmin_126_ethnic__ACTiVE__loop-Cymatics_Gems_Ethnic_Loop___seed777.wav
307,4.707,2.23,2.48,0.99,0018__A#min_152_dragon__Velvet__loop-Cymatics_Dragon_Nostalgic___seed777.wav
308,4.704,2.14,2.56,1.00,0135__Bmin_125_oracle__Glassland__loop-Cymatics_Oracle_Nostalgic___seed777.wav
309,4.703,2.16,2.54,1.00,0550__Gmin_130_r&b__Crystal__loop-Cymatics_Dragon_R_B_Loop_R__seed7.wav
310,4.701,2.28,2.42,1.00,0043__A#min_150_various__Halo__loop-Cymatics_Dragon_Various_Lo__seed7.wav
311,4.683,2.36,2.33,1.00,0337__Emin_160_cobra__Mirage__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
312,4.681,2.23,2.45,0.95,0038__A#min_150_various__ICE__loop-Cymatics_Dragon_Various_Lo__seed123.wav
313,4.680,2.21,2.47,1.00,0525__G#min_115_dark__Dusk__loop-Cymatics_Gems_Dark_Loop_At__seed777.wav
314,4.676,2.31,2.37,1.00,0087__Amin_160_misc__Depths__loop-Cymatics_2020_Nostalgic_Me__seed777.wav
315,4.674,2.10,2.58,1.00,0526__G#min_115_dark__Echo__loop-Cymatics_Gems_Dark_Loop_At__seed7.wav
316,4.674,2.42,2.25,1.00,0247__D#min_106_various__Crystal__loop-Cymatics_Dragon_Various_Lo__seed7.wav
317,4.673,2.31,2.36,0.98,0034__A#min_97_oracle__AzUL__loop-Cymatics_Oracle_West_Coast__seed7.wav
318,4.660,2.12,2.54,0.94,0413__F#min_130_sad__Cry__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
319,4.659,2.21,2.45,0.99,0148__C#min_150_dragon__LATE__loop-Cymatics_Dragon_Orchestral__seed7.wav
320,4.654,2.22,2.44,1.00,0168__C#min_135_dragon__Panda__loop-Cymatics_Dragon_Nostalgic___seed777.wav
321,4.653,2.43,2.23,1.00,0457__Fmin_70_r&b__ICE__loop-Cymatics_Dragon_Platinum_R__seed7.wav
322,4.651,2.18,2.47,1.00,0528__G#min_115_dark__Echo__loop-Cymatics_Gems_Dark_Loop_At__seed777.wav
323,4.646,2.14,2.51,1.00,0363__Emin_150_various__Coupe__loop-Cymatics_Oracle_Various_Me__seed777.wav
324,4.646,2.13,2.51,1.00,0142__Bmin_125_oracle__Scenic__loop-Cymatics_Oracle_Nostalgic___seed7.wav
325,4.645,2.43,2.22,0.96,0055__Amin_130_ethnic__ICE__loop-Cymatics_Dragon_Platinum_E__seed7.wav
326,4.642,2.14,2.50,1.00,0013__A#min_152_dragon__Crystal__loop-Cymatics_Dragon_Nostalgic___seed7.wav
327,4.638,2.28,2.35,1.00,0082__Amin_130_sad__ACTiVE__loop-Cymatics_Oracle_Sad_Melody__seed7.wav
328,4.634,2.24,2.39,0.94,0024__A#min_152_dragon__BANDS__loop-Cymatics_Dragon_Nostalgic___seed777.wav
329,4.630,2.34,2.29,0.88,0071__Amin_88_oracle__Crystal__loop-Cymatics_Oracle_Classic_Me__seed123.wav
330,4.628,2.28,2.35,0.99,0199__Cmin_102_oracle__Depths__loop-Cymatics_Oracle_West_Coast__seed7.wav
331,4.617,2.23,2.39,1.00,0058__Amin_130_ethnic__LATE__loop-Cymatics_Dragon_Platinum_E__seed7.wav
332,4.615,2.48,2.14,0.94,0320__Dmin_120_oracle__Velvet__loop-Cymatics_Oracle_Simple_Mel__seed123.wav
333,4.615,2.39,2.23,1.00,0120__Bmin_167_dark__Nasty__loop-Cymatics_Oracle_Dark_Melod__seed777.wav
334,4.614,2.27,2.35,1.00,0152__C#min_150_dragon__Veil__loop-Cymatics_Dragon_Orchestral__seed123.wav
335,4.613,2.10,2.52,1.00,0565__Gmin_126_ethnic__LATE__loop-Cymatics_Gems_Ethnic_Loop___seed7.wav
336,4.610,2.13,2.48,1.00,0184__C#min_130_dark__Midnight__loop-Cymatics_Dragon_Platinum_D__seed7.wav
337,4.605,2.30,2.30,1.00,0387__F#min_100_rnb__Ember__loop-Cymatics_Gems_Vol_6_Never___seed777.wav
338,4.603,2.20,2.40,0.91,0535__Gmin_136_dark__FlaMEnCO__loop-Cymatics_Dragon_Dark_Loop___seed7.wav
339,4.600,2.20,2.40,0.86,0153__C#min_150_dragon__Veil__loop-Cymatics_Dragon_Orchestral__seed777.wav
340,4.600,2.14,2.46,1.00,0170__C#min_136_r&b__AzUL__loop-Cymatics_Dragon_R_B_Loop_D__seed123.wav
341,4.596,2.06,2.54,0.94,0223__Cmin_65_trap__StarLight__loop-Cymatics_Dragon_Platinum_O__seed7.wav
342,4.594,2.22,2.37,1.00,0090__Amin_160_misc__Soulful__loop-Cymatics_2020_Nostalgic_Me__seed777.wav
343,4.586,2.25,2.34,0.98,0061__Amin_88_oracle__Dusk__loop-Cymatics_Oracle_Classic_Me__seed7.wav
344,4.582,2.04,2.54,1.00,0186__C#min_130_dark__Midnight__loop-Cymatics_Dragon_Platinum_D__seed777.wav
345,4.581,2.07,2.51,1.00,0568__Gmin_126_ethnic__Crystal__loop-Cymatics_Gems_Ethnic_Loop___seed7.wav
346,4.580,2.20,2.38,0.99,0423__F#min_113_cobra__Cry__loop-Cymatics_Cobra_Flute_Loop___seed777.wav
347,4.578,2.12,2.46,1.00,0430__F#min_113_cobra__Mirage__loop-Cymatics_Cobra_Flute_Loop___seed7.wav
348,4.576,2.25,2.33,1.00,0371__Emin_150_various__ACTiVE__loop-Cymatics_Oracle_Various_Me__seed123.wav
349,4.572,2.03,2.54,1.00,0086__Amin_160_misc__Depths__loop-Cymatics_2020_Nostalgic_Me__seed123.wav
350,4.572,2.26,2.32,1.00,0178__C#min_136_r&b__CoSmoS__loop-Cymatics_Dragon_R_B_Loop_D__seed7.wav
351,4.571,2.07,2.50,1.00,0502__G#min_150_dragon__Depths__loop-Cymatics_Dragon_Orchestral__seed7.wav
352,4.569,2.13,2.44,1.00,0169__C#min_136_r&b__AzUL__loop-Cymatics_Dragon_R_B_Loop_D__seed7.wav
353,4.568,2.26,2.31,0.87,0508__G#min_85_sad__Coupe__loop-Cymatics_Dragon_Sad_Loop_L__seed7.wav
354,4.565,2.15,2.42,0.99,0041__A#min_150_various__CoSmoS__loop-Cymatics_Dragon_Various_Lo__seed123.wav
355,4.564,2.19,2.37,0.99,0466__Fmin_70_r&b__Echo__loop-Cymatics_Dragon_Platinum_R__seed7.wav
356,4.564,2.15,2.42,1.00,0008__A#min_144_ethnic__JuPitER__loop-Cymatics_Dragon_Platinum_E__seed123.wav
357,4.563,2.39,2.18,0.98,0357__Emin_110_cobra__Rent_Free__loop-Cymatics_Cobra_Melody_Loop__seed777.wav
358,4.562,2.16,2.40,1.00,0188__C#min_130_dark__Scenic__loop-Cymatics_Dragon_Platinum_D__seed123.wav
359,4.561,2.17,2.39,1.00,0361__Emin_150_various__Coupe__loop-Cymatics_Oracle_Various_Me__seed7.wav
360,4.559,2.19,2.37,1.00,0240__Cmin_128_dragon__Crystal__loop-Cymatics_Dragon_Nostalgic___seed777.wav
361,4.555,2.25,2.31,0.99,0196__Cmin_102_oracle__Coldhearted__loop-Cymatics_Oracle_West_Coast__seed7.wav
362,4.550,2.07,2.48,1.00,0456__Fmin_130_dragon__TrapSoul__loop-Cymatics_Dragon_Nostalgic___seed777.wav
363,4.549,2.11,2.44,0.91,0158__C#min_135_dragon__Coldhearted__loop-Cymatics_Dragon_Nostalgic___seed123.wav
364,4.548,2.32,2.23,1.00,0174__C#min_136_r&b__Crystal__loop-Cymatics_Dragon_R_B_Loop_D__seed777.wav
365,4.547,2.25,2.30,0.85,0530__Gmin_136_dark__LowKey__loop-Cymatics_Dragon_Dark_Loop___seed123.wav
366,4.546,2.18,2.37,1.00,0176__C#min_136_r&b__Veil__loop-Cymatics_Dragon_R_B_Loop_D__seed123.wav
367,4.543,1.99,2.56,1.00,0521__G#min_115_dark__BANDS__loop-Cymatics_Gems_Dark_Loop_At__seed123.wav
368,4.542,2.01,2.53,1.00,0192__C#min_130_dark__JuPitER__loop-Cymatics_Dragon_Platinum_D__seed777.wav
369,4.541,2.23,2.31,1.00,0244__D#min_106_various__JUNGLE__loop-Cymatics_Dragon_Various_Lo__seed7.wav
370,4.539,2.13,2.41,1.00,0173__C#min_136_r&b__Crystal__loop-Cymatics_Dragon_R_B_Loop_D__seed123.wav
371,4.535,2.23,2.30,1.00,0083__Amin_130_sad__ACTiVE__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
372,4.526,2.20,2.33,1.00,0162__C#min_135_dragon__CANOPY__loop-Cymatics_Dragon_Nostalgic___seed777.wav
373,4.523,2.26,2.32,0.84,0561__Gmin_102_rnb__ICE__loop-Cymatics_Gems_Vol_6_Fading__seed777.wav
374,4.520,2.15,2.37,1.00,0179__C#min_136_r&b__CoSmoS__loop-Cymatics_Dragon_R_B_Loop_D__seed123.wav
375,4.516,2.16,2.35,0.95,0044__A#min_150_various__Halo__loop-Cymatics_Dragon_Various_Lo__seed123.wav
376,4.508,2.27,2.24,0.96,0049__Amin_130_ethnic__Cry__loop-Cymatics_Dragon_Platinum_E__seed7.wav
377,4.503,2.00,2.50,0.99,0276__D#min_140_cobra__TrapSoul__loop-Cymatics_Cobra_Melody_Loop__seed777.wav
378,4.503,2.18,2.43,0.83,0026__A#min_97_oracle__CoSmoS__loop-Cymatics_Oracle_West_Coast__seed123.wav
379,4.493,2.10,2.39,1.00,0009__A#min_144_ethnic__JuPitER__loop-Cymatics_Dragon_Platinum_E__seed777.wav
380,4.484,2.14,2.39,0.84,0282__D#min_94_rnb__Glassland__loop-Cymatics_Gems_Vol_6_Glowin__seed777.wav
381,4.482,2.16,2.32,1.00,0151__C#min_150_dragon__Veil__loop-Cymatics_Dragon_Orchestral__seed7.wav
382,4.482,1.99,2.49,1.00,0572__Gmin_126_ethnic__Halo__loop-Cymatics_Gems_Ethnic_Loop___seed123.wav
383,4.478,2.34,2.13,0.88,0317__Dmin_120_oracle__Crystal__loop-Cymatics_Oracle_Simple_Mel__seed123.wav
384,4.477,2.13,2.35,0.99,0037__A#min_150_various__ICE__loop-Cymatics_Dragon_Various_Lo__seed7.wav
385,4.477,2.11,2.37,1.00,0172__C#min_136_r&b__Crystal__loop-Cymatics_Dragon_R_B_Loop_D__seed7.wav
386,4.474,2.21,2.26,1.00,0462__Fmin_70_r&b__Ember__loop-Cymatics_Dragon_Platinum_R__seed777.wav
387,4.471,2.02,2.45,1.00,0182__C#min_130_dark__Crystal__loop-Cymatics_Dragon_Platinum_D__seed123.wav
388,4.465,2.05,2.41,0.94,0343__Emin_160_cobra__Soulful__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
389,4.465,2.12,2.34,1.00,0185__C#min_130_dark__Midnight__loop-Cymatics_Dragon_Platinum_D__seed123.wav
390,4.462,2.12,2.35,1.00,0181__C#min_130_dark__Crystal__loop-Cymatics_Dragon_Platinum_D__seed7.wav
391,4.454,2.07,2.38,1.00,0522__G#min_115_dark__BANDS__loop-Cymatics_Gems_Dark_Loop_At__seed777.wav
392,4.454,2.08,2.37,1.00,0569__Gmin_126_ethnic__Crystal__loop-Cymatics_Gems_Ethnic_Loop___seed123.wav
393,4.454,2.18,2.27,0.98,0193__Cmin_102_oracle__Glassland__loop-Cymatics_Oracle_West_Coast__seed7.wav
394,4.453,2.09,2.37,1.00,0547__Gmin_130_r&b__StarLight__loop-Cymatics_Dragon_R_B_Loop_R__seed7.wav
395,4.450,2.06,2.39,1.00,0006__A#min_144_ethnic__ICE__loop-Cymatics_Dragon_Platinum_E__seed777.wav
396,4.447,1.99,2.45,1.00,0248__D#min_106_various__Crystal__loop-Cymatics_Dragon_Various_Lo__seed123.wav
397,4.445,1.82,2.62,0.94,0419__F#min_130_sad__Echo__loop-Cymatics_Oracle_Sad_Melody__seed123.wav
398,4.442,2.06,2.38,1.00,0573__Gmin_126_ethnic__Halo__loop-Cymatics_Gems_Ethnic_Loop___seed777.wav
399,4.432,2.16,2.27,1.00,0180__C#min_136_r&b__CoSmoS__loop-Cymatics_Dragon_R_B_Loop_D__seed777.wav
400,4.432,2.18,2.25,0.99,0042__A#min_150_various__CoSmoS__loop-Cymatics_Dragon_Various_Lo__seed777.wav
401,4.431,2.20,2.24,1.00,0003__A#min_144_ethnic__Ember__loop-Cymatics_Dragon_Platinum_E__seed777.wav
402,4.426,2.17,2.25,1.00,0175__C#min_136_r&b__Veil__loop-Cymatics_Dragon_R_B_Loop_D__seed7.wav
403,4.422,2.05,2.37,1.00,0189__C#min_130_dark__Scenic__loop-Cymatics_Dragon_Platinum_D__seed777.wav
404,4.420,2.28,2.14,0.92,0091__Amin_160_misc__POWER__loop-Cymatics_2020_Nostalgic_Me__seed7.wav
405,4.420,2.24,2.18,0.90,0533__Gmin_136_dark__Coldhearted__loop-Cymatics_Dragon_Dark_Loop___seed123.wav
406,4.418,2.22,2.20,0.89,0025__A#min_97_oracle__CoSmoS__loop-Cymatics_Oracle_West_Coast__seed7.wav
407,4.417,2.39,2.28,0.80,0435__Fmin_160_various__Coldhearted__loop-Cymatics_Oracle_Various_Me__seed777.wav
408,4.416,2.10,2.31,1.00,0171__C#min_136_r&b__AzUL__loop-Cymatics_Dragon_R_B_Loop_D__seed777.wav
409,4.408,2.24,2.17,1.00,0336__Dmin_160_ethnic__Ember__loop-Cymatics_Dragon_Ethnic_Loo__seed777.wav
410,4.406,2.20,2.20,0.92,0539__Gmin_136_dark__Coupe__loop-Cymatics_Dragon_Dark_Loop___seed123.wav
411,4.402,2.33,2.51,0.77,0050__Amin_130_ethnic__Cry__loop-Cymatics_Dragon_Platinum_E__seed123.wav
412,4.395,2.27,2.13,1.00,0368__Emin_150_various__LATE__loop-Cymatics_Oracle_Various_Me__seed123.wav
413,4.395,2.00,2.39,1.00,0014__A#min_152_dragon__Crystal__loop-Cymatics_Dragon_Nostalgic___seed123.wav
414,4.389,2.07,2.32,1.00,0002__A#min_144_ethnic__Ember__loop-Cymatics_Dragon_Platinum_E__seed123.wav
415,4.384,2.24,2.15,0.91,0065__Amin_88_oracle__BANDS__loop-Cymatics_Oracle_Classic_Me__seed123.wav
416,4.384,2.08,2.30,1.00,0274__D#min_140_cobra__TrapSoul__loop-Cymatics_Cobra_Melody_Loop__seed7.wav
417,4.379,2.18,2.20,1.00,0364__Emin_150_various__Mars__loop-Cymatics_Oracle_Various_Me__seed7.wav
418,4.378,2.17,2.20,1.00,0159__C#min_135_dragon__Coldhearted__loop-Cymatics_Dragon_Nostalgic___seed777.wav
419,4.378,1.91,2.47,1.00,0183__C#min_130_dark__Crystal__loop-Cymatics_Dragon_Platinum_D__seed777.wav
420,4.377,2.10,2.28,1.00,0245__D#min_106_various__JUNGLE__loop-Cymatics_Dragon_Various_Lo__seed123.wav
421,4.372,2.09,2.28,1.00,0177__C#min_136_r&b__Veil__loop-Cymatics_Dragon_R_B_Loop_D__seed777.wav
422,4.358,2.03,2.33,1.00,0005__A#min_144_ethnic__ICE__loop-Cymatics_Dragon_Platinum_E__seed123.wav
423,4.356,2.13,2.22,1.00,0011__A#min_144_ethnic__StarLight__loop-Cymatics_Dragon_Platinum_E__seed123.wav
424,4.328,2.10,2.44,0.81,0571__Gmin_126_ethnic__Halo__loop-Cymatics_Gems_Ethnic_Loop___seed7.wav
425,4.323,2.01,2.31,1.00,0133__Bmin_125_oracle__Glassland__loop-Cymatics_Oracle_Nostalgic___seed7.wav
426,4.320,2.08,2.24,0.98,0345__Emin_160_cobra__Soulful__loop-Cymatics_Cobra_Melody_Loop__seed777.wav
427,4.318,2.58,2.39,0.74,0531__Gmin_136_dark__LowKey__loop-Cymatics_Dragon_Dark_Loop___seed777.wav
428,4.313,2.14,2.17,1.00,0001__A#min_144_ethnic__Ember__loop-Cymatics_Dragon_Platinum_E__seed7.wav
429,4.306,2.30,2.01,1.00,0365__Emin_150_various__Mars__loop-Cymatics_Oracle_Various_Me__seed123.wav
